,BoiteVitesse,PuissanceFiscale,Prix,NombreDePlaces,NombreDePortes,Cylindrée,Energie,NombreDeCylindres,Carrosserie,Marque,Modele
348,Automatique,18 CV,327000 DT,5.0,3,2000 CM³,Essence,4.0,SUV,JEEP, WRANGLER2.0 L RUBICON
349,Automatique,18 CV,375000 DT,5.0,5,2000 CM³,Essence,4.0,SUV,JEEP, WRANGLER UNLIMITED2.0 L RUBICON
350,Automatique,19 CV,405000 DT,5.0,5,3604 CM³,Essence,6.0,SUV,JEEP, WRANGLER UNLIMITED3.6 L V6 RUBICON
351,Automatique,8 CV,340000 DT,5.0,5,1999 CM³,Diesel,4.0,SUV,LAND ROVER, RANGE ROVER EVOQUE2.0 L D163 DYNAMIC SE
352,Automatique,12 CV,341700 DT,5.0,5,1997 CM³,Essence,4.0,SUV,LAND ROVER, RANGE ROVER EVOQUE2.0 L P200 DYNAMIC SE
353,Automatique,8 CV,364200 DT,5.0,5,2996 CM³,Essence | Hybride léger,4.0,SUV,LAND ROVER, DEFENDER 1103.0 L P400 S
354,Automatique,21 CV,413000 DT,5.0,5,1997 CM³,Essence,4.0,SUV,LAND ROVER, DEFENDER 1102.0 L P300 SE
355,Automatique,16 CV,396500 DT,5.0,5,1998 CM³,Essence,4.0,SUV,LAND ROVER, RANGE ROVER VELAR2.0 L P250 S
356,Automatique,21 CV,398000 DT,5.0,3,1997 CM³,Essence,4.0,SUV,LAND ROVER, DEFENDER 902.0 L P300 X-DYNAMIX SE
357,Automatique,28 CV,607200 DT,5.0,5,2996 CM³,Essence | Hybride léger,6.0,SUV,LAND ROVER, RANGE ROVER SPORT3.0 L P400 MHEV SE
358,Automatique,16 CV,647000 DT,5.0,5,2997 CM³,Essence | Hybride rechargeable,6.0,SUV,LAND ROVER, RANGE ROVER SPORT3.0 L P460 PHEV SE
359,Automatique,24 CV,702500 DT,5.0,5,2997 CM³,Essence | Hybride léger,6.0,SUV,LAND ROVER, RANGE ROVER3.0 L P400 MHEV SE
360,Automatique,16 CV,723000 DT,5.0,5,2997 CM³,Essence | Hybride rechargeable,6.0,SUV,LAND ROVER, RANGE ROVER3.0 L P460 PHEV SE
361,Automatique,44 CV,1054000 DT,5.0,5,4395 CM³,Essence,8.0,SUV,LAND ROVER, RANGE ROVER4.4 V8 P530 HSE
362,Manuelle,7 CV,73980 DT,2.0,4 | 1 porte latérale coulissante | 2 portes arrières battantes vitrées,1968 CM³,Diesel,4.0,Utilitaire,VOLKSWAGEN, UTILITAIRES CADDY CARGO2.0 L TDI BUSINESS
363,Manuelle,7 CV,76980 DT,2.0,4 | 1 porte latérale coulissante | 2 portes arrières battantes vitrées,1968 CM³,Diesel,4.0,Utilitaire,VOLKSWAGEN, UTILITAIRES CADDY CARGO2.0 L TDI MAXI
364,Manuelle,7 CV,104980 DT,3.0,4 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,1968 CM³,Diesel,4.0,Utilitaire,VOLKSWAGEN, UTILITAIRES TRANSPORTER FOURGON 6.12L TDI
365,Manuelle,6 CV,114980 DT,5.0,4 | 1 porte latérale coulissante,1598 CM³,Essence,4.0,Monospace,VOLKSWAGEN, UTILITAIRES CADDY COMBI1.6 L MPI CONFORT
366,Manuelle,7 CV,189980 DT,9.0,4 | 1 porte latérale coulissante | 2 portes arrières battantes vitrées,1968 CM³,Diesel,4.0,Monospace,VOLKSWAGEN, UTILITAIRES TRANSPORTER COMBI 6.12L TDI
367,Automatique,5 CV,199980 DT,5.0,4,1996 CM³,Diesel,4.0,Pick up,VOLKSWAGEN, UTILITAIRES AMAROK2.0 L TDI 170 CH 4X4 LIFE BVA
368,Automatique,5 CV,239980 DT,5.0,4,1996 CM³,Diesel,4.0,Pick up,VOLKSWAGEN, UTILITAIRES AMAROK2.0 L TDI 210 CH 4X4 AVENTURA BVA
369,Manuelle,7 CV,114980 DT,3.0,4 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,1968 CM³,Diesel,4.0,Utilitaire,VOLKSWAGEN, UTILITAIRES CRAFTER11.3 M3 L3H3
370,Manuelle,7 CV,116980 DT,3.0,4 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,1968 CM³,Diesel,4.0,Utilitaire,VOLKSWAGEN, UTILITAIRES CRAFTER14.4 M3 L4H3
371,Automatique,6 CV,151000 DT,5.0,5,1499 CM³,Essence,3.0,Compacte,BMW, SÉRIE 1 116I LOUNGE
372,Automatique,6 CV,167900 DT,5.0,5,1499 CM³,Essence,3.0,Compacte,BMW, SÉRIE 1 116I PACK M
373,Automatique,8 CV,168000 DT,5.0,4,1499 CM³,Essence,3.0,Berline,BMW, SÉRIE 2 GRAN COUPÉ218I LOUNGE
374,Automatique,8 CV,192500 DT,5.0,4,1499 CM³,Essence,3.0,Berline,BMW, SÉRIE 2 GRAN COUPÉ218I PACK SPORT M
375,Automatique,8 CV,181900 DT,5.0,5,1499 CM³,Essence,3.0,SUV,BMW, X218I BUSINESS LINE
376,Automatique,8 CV,203900 DT,5.0,5,1499 CM³,Essence,3.0,SUV,BMW, X218I PACK M SPORT X
377,Automatique,10 CV,187500 DT,5.0,4,1598 CM³,Essence,4.0,Berline,BMW, SERIE 3320I ACCESS
378,Automatique,10 CV,218000 DT,5.0,4,1598 CM³,Essence,4.0,Berline,BMW, SERIE 3320I LOUNGE
379,Automatique,10 CV,243500 DT,5.0,4,1598 CM³,Essence,4.0,Berline,BMW, SERIE 3320I PACK M SPORT320I PACK M SPORT
380,Automatique,9 CV,188900 DT,5.0,5,1499 CM³,Essence,3.0,SUV,BMW, X118I SDRIVE LOUNGE
381,Automatique,9 CV,213900 DT,5.0,5,1499 CM³,Essence,3.0,SUV,BMW, X118I SDRIVE XLINE
382,Automatique,9 CV,218900 DT,5.0,5,1499 CM³,Essence,3.0,SUV,BMW, X118I SDRIVE PACK SPORT M
383,Automatique,9 CV,197800 DT,5.0,5,1499 CM³,Essence,3.0,Monospace,BMW, SÉRIE 2 ACTIVE TOURER218I LUXURY LINE BVA
384,Automatique,N.C. CV,216900 DT,5.0,5,,Electrique,,SUV,BMW, IX1XDRIVE30 XLINE
385,Automatique,N.C. CV,224900 DT,5.0,5,,Electrique,,SUV,BMW, IX1XDRIVE30 PACK M
386,Automatique,8 CV,217900 DT,5.0,5,1499 CM³,Essence | Hybride rechargeable,3.0,SUV,BMW, X1 HYBRIDEXDRIVE 25E LOUNGE
387,Automatique,8 CV,239900 DT,5.0,5,1499 CM³,Essence | Hybride rechargeable,3.0,SUV,BMW, X1 HYBRIDEXDRIVE 25E XLINE
388,Automatique,8 CV,244900 DT,5.0,5,1499 CM³,Essence | Hybride rechargeable,3.0,SUV,BMW, X1 HYBRIDEXDRIVE 25E PACK M
389,Automatique,22 CV,237900 DT,5.0,5,,Electrique,,Berline,BMW, I4EDRIVE40 BUSINESS LINE
390,Automatique,22 CV,276900 DT,5.0,5,,Electrique,,Berline,BMW, I4EDRIVE40 PACK M
391,Automatique,11 CV,269900 DT,5.0,4,1999 CM³,Essence | Hybride léger,4.0,Berline,BMW, SERIE 5520I BUSINESS LINE
392,Automatique,11 CV,293900 DT,5.0,4,1999 CM³,Essence | Hybride léger,4.0,Berline,BMW, SERIE 5520I LOUNGE
393,Automatique,11 CV,315900 DT,5.0,4,1999 CM³,Essence | Hybride léger,4.0,Berline,BMW, SERIE 5520I PACK M
394,Automatique,10 CV,276800 DT,5.0,5,1998 CM³,Essence,4.0,Berline,BMW, SERIE 4 GRAN COUPE420I BUSINESS LINE
395,Automatique,10 CV,331900 DT,5.0,5,1998 CM³,Essence,4.0,Berline,BMW, SERIE 4 GRAN COUPE420I PACK M
396,Automatique,10 CV,277000 DT,5.0,2,1998 CM³,Essence,4.0,Coupé,BMW, SÉRIE 4 COUPÉ420I BUSINESS LINE
397,Automatique,10 CV,331900 DT,5.0,2,1998 CM³,Essence,4.0,Coupé,BMW, SÉRIE 4 COUPÉ420I PACK M SPORT
398,Automatique,N.C. CV,284900 DT,5.0,5,,Electrique,,SUV,BMW, IX3M SPORT
399,Automatique,11 CV,355000 DT,5.0,5,1995 CM³,Essence | Hybride rechargeable,4.0,SUV,BMW, X3 HYBRIDE30E XDRIVE BUSINESS LINE
400,Automatique,11 CV,402000 DT,5.0,5,1995 CM³,Essence | Hybride rechargeable,4.0,SUV,BMW, X3 HYBRIDE30E XDRIVE PACK M
401,Automatique,N.C. CV,424900 DT,5.0,5,,Electrique,,SUV,BMW, IXXDRIVE40 PACK SPORT
402,Automatique,15 CV,496500 DT,5.0,5,2998 CM³,Essence | Hybride rechargeable,6.0,SUV,BMW, X5 HYBRIDE45E X-DRIVE PACK M
403,Automatique,21 CV,581900 DT,5.0,5,2998 CM³,Essence | Hybride rechargeable,6.0,SUV,BMW, X5 HYBRIDE50E X DRIVE PACK M
404,Automatique,26 CV,782500 DT,5.0,4,2998 CM³,Essence | Hybride léger,6.0,Berline,BMW, SÉRIE 7740I LAUNCH EDITION
405,Automatique,6 CV,113000 DT,5.0,5,999 CM³,Essence,3.0,Citadine,AUDI, A1 SPORTBACK30 TFSI CITY LINE BVA
406,Automatique,6 CV,125000 DT,5.0,5,999 CM³,Essence,3.0,Citadine,AUDI, A1 SPORTBACK30 TFSI S LINE BVA
407,Automatique,8 CV,154000 DT,5.0,5,1395 CM³,Essence,4.0,Compacte,AUDI, A3 SPORTBACK35 TFSI ADVANCED LINE35 TFSI ADVANCED LINE
408,Automatique,8 CV,164000 DT,5.0,5,1395 CM³,Essence,4.0,Compacte,AUDI, A3 SPORTBACK35 TFSI MIDNIGHT SERIES LTD
409,Automatique,8 CV,169000 DT,5.0,5,1395 cm3,Essence,4.0,Compacte,AUDI, A3 SPORTBACK35 TFSI S-LINE35 TFSI S-LINE
410,Automatique,8 CV,156000 DT,5.0,4,1395 CM³,Essence,4.0,Berline,AUDI, A3 BERLINE35 TFSI BUSINESS EXTENDED
411,Automatique,8 CV,166000 DT,5.0,5,1498 CM³,Essence,4.0,SUV,AUDI, Q235 TFSI S LINE BVA
412,Automatique,8 CV,198000 DT,5.0,4,1984 CM³,Essence,4.0,Berline,AUDI, A435 TFSI BUSINESS LINE PLUS S-TRONIC
413,Automatique,9 CV,207000 DT,5.0,5,1498 CM³,Essence,4.0,SUV,AUDI, Q335 TFSI TECH ADVANCED S TRONIC
414,Automatique,8 CV,230000 DT,5.0,5,1984 CM³,Essence,4.0,Berline,AUDI, A5 SPORTBACK35 TFSI S LINE SELECTION S TRONIC
415,Automatique,9 CV,235000 DT,5.0,5,1498 CM³,Essence,4.0,SUV,AUDI, Q3 SPORTBACK35 TFSI BLACK SERIES S-TRONIC
416,Automatique,11 CV,295000 DT,5.0,4,1984 CM³,Essence | Hybride léger,4.0,Berline,AUDI, A640 TFSI S-LINE
417,Automatique,12 CV,299000 DT,5.0,5,,Electrique,,SUV,AUDI, Q8 E-TRON55 E-QUATTRO ADVANCED LINE
418,Automatique,12 CV,349000 DT,5.0,5,,Electrique,,SUV,AUDI, Q8 SPORTBACK E-TRON55 E-QUATTRO S-LINE
419,Automatique,16 CV,350000 DT,5.0,5,1984 CM³,Essence,4.0,SUV,AUDI, Q5 SPORTBACK45 TFSI QUATTRO S-LINE
420,Automatique,37 CV,390000 DT,5.0,4,,Electrique,,Berline,AUDI, E-TRON GTQUATTRO
421,Automatique,16 CV,430000 DT,7.0,5,1984 CM³,Essence,4.0,SUV,AUDI, Q745 TFSI QUATTRO S LINE 7 PLACES BVA
422,Automatique,23 CV,510000 DT,5.0,5,2995 CM³,Essence | Hybride léger,6.0,SUV,AUDI, Q855 TFSI TIPTRONIC QUATTRO
423,Automatique,11 CV,143900 DT,7.0,5,1999 CM³,Essence,4.0,SUV,BYD, TANG2.0 L SUPREME BVA
424,Automatique,6 CV,84900 DT,5.0,5,1598 CM³,Essence,4.0,SUV,FAW, BESTURN X401.6 L
425,Manuelle,4 CV,30500 DT,5.0,5,998 CM³,Essence,3.0,Citadine,KIA, PICANTO POPULAIRE1.0 L
426,Manuelle,5 CV,47950 DT,5.0,5,1197 CM³,Essence,4.0,Citadine,KIA, PICANTO 1.2 L LX
427,Manuelle,5 CV,49990 DT,5.0,5,1197 CM³,Essence,4.0,Citadine,SMART,KIA PICANTO 1.2 L 
428,Automatique,5 CV,52500 DT,5.0,5,1197 cm3,Essence,4.0,Citadine,KIA, PICANTO 1.2 L LX BVA1.2 L LX BVA
429,Automatique,4 CV,57500 DT,5.0,5,1197 CM³,Essence,4.0,Citadine,KIA, PICANTO 1.2 L GT-LINE BVA
430,Manuelle,8 CV,66900 DT,3.0,2,2497 CM³,Diesel,4.0,Pick up,KIA, K2500SIMPLE CABINE
431,Manuelle,5 CV,72980 DT,5.0,5,1197 CM³,Essence,4.0,SUV,KIA, STONIC1.2 L EX BVM
432,Manuelle,5 CV,77980 DT,5.0,5,1197 CM³,Essence,4.0,SUV,KIA, STONIC1.2 L SX BVM
433,Manuelle,6 CV,84980 DT,5.0,5,998 CM³,Essence | Hybride léger,3.0,SUV,KIA, STONIC1.0L T GDI GT-LINE BVM
434,Automatique,6 CV,92980 DT,5.0,5,998 CM³,Essence | Hybride léger,3.0,SUV,KIA, STONIC1.0L T GDI GT-LINE BVA
435,Automatique,8 CV,116950 DT,5.0,5,1353 CM³,Essence,4.0,SUV,KIA, SELTOS1.4 T-GDI
436,Automatique,9 CV,118500 DT,5.0,5,1482 CM³,Essence,4.0,SUV,KIA, XCEED1.5 T-GDI 7DCT EX
437,Automatique,9 CV,126900 DT,5.0,5,1482 CM³,Essence,4.0,SUV,KIA, XCEED1.5 T-GDI 7DCT SX
438,Automatique,9 CV,134980 DT,5.0,5,1482 CM³,Essence,4.0,SUV,KIA, XCEED1.5 T-GDI 7DCT GT-LINE
439,Automatique,5 CV,139950 DT,5.0,5,1580 CM³,Essence | Hybride,4.0,SUV,KIA, NIRO HYBRIDE1.6 L EX
440,Automatique,5 CV,149900 DT,5.0,5,1580 CM³,Essence | Hybride,4.0,SUV,KIA, NIRO HYBRIDE1.6 L SX
441,Automatique,10 CV,139990 DT,5.0,5,1598 CM³,Essence,4.0,SUV,KIA, SPORTAGE1.6 L T-GDI 7-DCT EX
442,Automatique,10 CV,151990 DT,5.0,5,1598 CM³,Essence,4.0,SUV,KIA, SPORTAGE1.6 L T-GDI 7-DCT SX
443,Automatique,10 CV,175000 DT,5.0,5,1598 CM³,Essence | Hybride,4.0,SUV,KIA, SPORTAGE HYBRIDE1.6 L T-GDI 4X2 GT-LINE
444,Automatique,10 CV,189900 DT,5.0,5,1598 CM³,Essence | Hybride,4.0,SUV,KIA, SPORTAGE HYBRIDE1.6 L T-GDI 4X4 GT-LINE
445,Automatique,9 CV,199980 DT,5.0,5,,Electrique,,SUV,KIA, EV6STANDARD RANGE GT-LINE
446,Automatique,13 CV,219980 DT,5.0,5,,Electrique,,SUV,KIA, EV6LONG RANGE GT-LINE
447,Automatique,21 CV,239980 DT,5.0,5,,Electrique,,SUV,KIA, EV6DUAL POWER 4WD GT-LINE
448,Automatique,12 CV,274950 DT,7.0,5,2151 CM³,Diesel,4.0,SUV,KIA, SORENTO2.2 L DIESEL 7 PLACES BVA
449,Automatique,19 CV,280000 DT,7.0,5,3470 CM³,Essence,6.0,SUV,KIA, SORENTO3.5 V6 7 PLACES BVA
450,Automatique,9 CV,113777 DT,5.0,5,1498 CM³,Essence,4.0,SUV,BESTUNE, T77 PRO1.5 L LUXURY BVA
451,Automatique,9 CV,118777 DT,5.0,5,1498 CM³,Essence,4.0,SUV,BESTUNE, T77 PRO1.5 L PREMIUM BVA
452,Manuelle,6 CV,63900 DT,5.0,4,1499 CM³,Essence,4.0,Berline,DONGFENG, S501.5 L
453,Manuelle,7 CV,71900 DT,5.0,5,1556 CM³,Essence,4.0,SUV,DONGFENG, AX41.6 L
454,Automatique,7 CV,79900 DT,5.0,5,1556 CM³,Essence,4.0,SUV,DONGFENG, AX41.6 L DCT
455,Manuelle,8 CV,93900 DT,5.0,4,2498 CM³,Diesel,4.0,Pick up,DONGFENG, RICH 62.5 TURBO DIESEL 4X2
456,Manuelle,8 CV,104900 DT,5.0,4,2498 CM³,Diesel,4.0,Pick up,DONGFENG, RICH 62.5 TURBO DIESEL 4X4
457,Manuelle,8 CV,108500 DT,5.0,4,2498 CM³,Diesel,4.0,Pick up,DONGFENG, RICH 62.5 TURBO DIESEL 4X4 TOUTES OPTIONS
458,Automatique,9 CV,122700 DT,5.0,5,1500 CM³,Essence,4.0,SUV,DONGFENG, T5 EVO1.5 L TURBO
