,Energie,Annee,Kilometrage,PuissanceFiscale,BoiteVitesse,Prix,Marque,Modele
79,Essence,2002.0,333333 KM,5 CV,Boîte 5,15 500 DT,VOLKSWAGEN,POLO 4
80,Diesel,2002.0,123000 KM,,,13 000 DT,,
81,Diesel,2001.0,352000 KM,7 CV,Boîte 5,15 500 DT,FORD,MONDEO
82,Diesel,2006.0,390000 KM,5 CV,Boîte 5,14 900 DT,,
83,Diesel,1234.0,1234 KM,7 CV,Boîte 5,13 200 DT,CITROEN,BERLINGO
84,Diesel,2010.0,200000 KM,4h CV,Boîte 5,14 000 DT,,
85,Essence,2001.0,329000 KM,7 CV,Boîte 5,13 000 DT,ALFA ROMEO,156
86,Essence,1996.0,340000 KM,4 CV,Boîte 6,12 500 DT,POLO,3
87,Essence,1998.0,271 KM,5 CV,Boîte 5,12 500 DT,,
88,Diesel,2011.0,200000 KM,8 CV,Boîte 5,15 000 DT,,
89,Essence,1999.0,200000 KM,4v CV,Boîte 5,14 500 DT,,
90,Essence,2006.0,23000 KM,4 CV,Boîte 5,17 000 DT,POLO,6
91,Essence,2005.0,219.000 KM,5 CV,Boîte 5,18 300 DT,,
92,Essence,2012.0,195400 KM,4 CV,Boîte 5,21 000 DT,FIAT,PUNTO
93,Diesel,2011.0,300000 KM,6 CV,Boîte 5,18 000 DT,KIA,RIO
94,Essence,2020.0,148 KM,5 CV,Boîte 5,19 000 DT,NISSAN,MICRA
95,Essence,2014.0,205000 KM,5 CV,Boîte 5,20 500 DT,PEUGEOT,301
96,Diesel,2014.0,292000 KM,7h CV,Boîte 6,19 000 DT,CITROEN,JUMPER
97,Diesel,2005.0,100 KM,5 CV,Boîte 5,17 000 DT,OPEL,ASTRA
98,Essence,2009.0,287000 KM,5 CV,Boîte 5,20 000 DT,,
99,Essence,2008.0,177000 KM,6 CV,Boîte 5,21 000 DT,PEUGEOT,206
100,Essence,2006.0,199 KM,5 CV,Boîte 5,18 000 DT,,
101,Diesel,2004.0,323000 KM,5 CV,Boîte 5,17 000 DT,,
102,Essence,2003.0,295000 KM,9 CV,Boîte 6,19 700 DT,,
103,Essence,2002.0,300000 KM,4 CV,Boîte 5,17 000 DT,PEUGEOT,206
104,Essence,2008.0,216650 KM,6 CV,Boîte 5,18 000 DT,PEUGEOT,206
105,Essence,2007.0,300000 KM,5 CV,,17 000 DT,RENAULT,CLIO
106,Essence,2012.0,276710 KM,4 CV,Boîte 5,17 000 DT,FIAT,PUNTO
107,Essence,2004.0,240 KM,5 CV,Boîte 5,19 500 DT,,
108,Essence,2008.0,211000 KM,5 CV,Boîte 5,17 500 DT,,
109,Essence,2010.0,50000 KM,6 CV,Boîte 5,18 800 DT,,
110,Essence,2004.0,130 KM,4 CV,,20 000 DT,,
111,Essence,2004.0,300000 KM,5 CV,Boîte 5,20 000 DT,,
112,Essence,2014.0,365000 KM,4 CV,Boîte 5,18 000 DT,PEUGEOT,206
113,Essence,2006.0,167 KM,5 CV,Boîte 5,17 300 DT,,
114,Essence,2004.0,267000 KM,4 CV,Boîte 5,18 500 DT,PEUGEOT,206
115,Diesel,2010.0,520000 KM,7 CV,Boîte 5,20 000 DT,CITROEN,BERLINGO
116,Essence,2006.0,201000 KM,6 CV,Boîte 5,17 500 DT,,
117,Essence,2010.0,300000 KM,4 CV,Boîte 5,18 000 DT,FIAT,
118,Essence,2010.0,270000 KM,5 CV,Boîte 5,20 000 DT,RENAULT,SYMBOL
119,Essence,2012.0,144000 KM,5 CV,Boîte 5,18 500 DT,POLO,7
120,Essence,2003.0,313000 KM,5 CV,Boîte 5,21 000 DT,,
121,Essence,2012.0,151000 KM,5 CV,Boîte 5,23 000 DT,FORD,FIESTA
122,Essence,2006.0,230500 KM,4 CV,Boîte 5,21 500 DT,POLO,6
123,Essence,2012.0,170000 KM,5 CV,Boîte 5,23 500 DT,,
124,Essence,2011.0,143000 KM,4 CV,Boîte 5,21 500 DT,CITROEN,C1
125,Diesel,2000.0,289 KM,6 CV,Boîte 6,23 000 DT,,
126,Diesel,2007.0,400000 KM,11 CV,Boîte 5,23 000 DT,ISUZU,
127,Essence,,,,,21 500 DT,POLO,6
128,Diesel,2008.0,300000 KM,6 CV,Boîte 6,23 000 DT,,
129,Diesel,2004.0,330000 KM,7 CV,Automatique,23 000 DT,AUDI,A4
130,Essence,2018.0,73.000 KM,4 CV,Boîte 5,22 200 DT,CHERY,
131,Essence,2012.0,216000 KM,5 CV,Boîte 5,23 000 DT,FORD,FIESTA
132,Essence,2009.0,55000 KM,5 CV,Boîte 5,22 000 DT,,
133,Diesel,2009.0,70000 KM,6 CV,Boîte 6,22 000 DT,,
134,Essence,2015.0,220000 KM,,Boîte 5,23 000 DT,,
135,Diesel,2017.0,290 KM,5 CV,Boîte 5,23 000 DT,PEUGEOT,BIPPER
136,Essence,2008.0,217000 KM,4 CV,Boîte 6,23 500 DT,POLO,6
137,Essence,2005.0,360000 KM,6 CV,Boîte 6,21 000 DT,,
138,Essence,2013.0,129000 KM,05v CV,Boîte 5,22 000 DT,CHEVROLET,SPARK
139,Essence,2009.0,181000 KM,6 CV,Boîte 5,23 000 DT,CHEVROLET,AVEO
140,Essence,2019.0,215000 KM,,,21 000 DT,PEUGEOT,301
141,Essence,2009.0,172000 KM,04 CV,Boîte 5,23 000 DT,FIAT,PANDA
142,Essence,2019.0,48000 KM,4 CV,,23 500 DT,CHERY,QQ
143,Essence,,218 KM,6v CV,Boîte 5,21 000 DT,,
144,Diesel,2009.0,240000 KM,7 CV,Boîte 6,23 500 DT,BMW,SERIE 1
145,Essence,2006.0,208000 KM,5 CV,Boîte 5,21 500 DT,FORD,FIESTA
146,Essence,2010.0,150000 KM,7 CV,Boîte 6,22 400 DT,,
147,Essence,2007.0,00 KM,5 CV,Boîte 5,22 500 DT,OPEL,ASTRA
148,Essence,2015.0,110000 KM,5 CV,Boîte 5,23 500 DT,CITROEN,C-ELYSEE
149,Essence,2015.0,284000 KM,5v CV,Boîte 5,21 600 DT,CITROEN,C ELYSEE
150,Essence,2011.0,167000 KM,5 CV,Boîte 5,24 000 DT,,
151,Essence,2017.0,145 KM,4 CV,Boîte 5,25 000 DT,,
152,Diesel,2017.0,198000 KM,5 CV,Boîte 5,24 000 DT,CITROEN,NEMO
153,Essence,2010.0,,5 CV,,25 000 DT,POLO,7
154,Essence,2010.0,180000 KM,4 CV,Boîte 5,24 500 DT,CHEVROLET,SPARK
155,Diesel,2011.0,300000 KM,8 CV,Boîte 6,25 000 DT,RENAULT,MASTER 3
156,Essence,2010.0,240000 KM,4v CV,Boîte 5,25 500 DT,POLO,7
157,Essence,,,5 CV,Boîte 5,25 000 DT,,
158,Essence,2017.0,200000 KM,6 CV,Boîte 5,24 000 DT,FIAT,LINEA
159,Essence,2014.0,171000 KM,4 CV,Boîte 5,25 000 DT,FIAT,PUNTO
160,Essence,2008.0,125000 KM,4 CV,Boîte 5,24 000 DT,TOYOTA,YARIS
161,Diesel,2008.0,252000 KM,5 CV,,25 000 DT,CITROEN,
162,Essence,2010.0,,4v CV,Boîte 5,25 000 DT,POLO,7
163,Essence,2010.0,,5 CV,,25 000 DT,POLO,7
164,Essence,2011.0,180 KM,5 CV,,25 000 DT,FORD,FIESTA
165,Essence,2014.0,208000 KM,5 CV,Boîte 5,24 000 DT,RENAULT,
166,Essence,2013.0,188000 KM,4 CV,Boîte 5,25 000 DT,LANCIA,YPSILON
167,Essence,2007.0,180 KM,6 CV,Boîte 5,23 800 DT,CITROEN,C4
168,Essence,2013.0,188000 KM,4 CV,Boîte 5,25 000 DT,LANCIA,
169,Diesel,2012.0,387684 KM,,Boîte 5,25 000 DT,,
170,Diesel,2022.0,41000 KM,8 CV,Boîte 5,25 000 DT,ISUZU,DMAX
171,Essence,2009.0,209000 KM,4 CV,,25 000 DT,,
172,Diesel,2000.0,,7 CV,Boîte 5,25 000 DT,SUZUKI,VITARA
173,Diesel,2016.0,128000 KM,5 CV,Boîte 5,25 000 DT,PEUGEOT,BIPPER
174,Essence,2014.0,200000 KM,5 CV,Boîte 5,25 000 DT,CITROEN,C-ELYSEE
175,Essence,2016.0,160 KM,6 CV,Boîte 5,23 800 DT,CITROEN,C ELYSEE
176,Essence,2017.0,11800 KM,4 CV,Boîte 5,25 300 DT,,
177,Diesel,2016.0,197000 KM,5v CV,Boîte 5,25 000 DT,DACIA,DOKKER
178,Essence,2016.0,140 KM,5 CV,Boîte 5,24 000 DT,,
179,Essence,2018.0,87.000 KM,,Boîte 5,24 500 DT,CHERY,QQ
180,Essence,2018.0,198500 KM,5 CV,,27 000 DT,NISSAN,MICRA
181,Diesel,2007.0,238000 KM,6 CV,Boîte 5,28 000 DT,,
182,Diesel,2007.0,193000 KM,120 CV,Boîte 5,26 000 DT,SSANGYONG,MUSSO
183,Essence,2010.0,260000 KM,160 CV,Automatique,27 000 DT,VOLKSWAGEN,SCIROCCO
184,Essence,2011.0,200 KM,7 CV,Automatique,27 000 DT,,
185,Diesel,2013.0,289 KM,10 CV,Boîte 5,27 500 DT,,
186,Diesel,2011.0,2011 KM,10 CV,Boîte 5,27 000 DT,,
187,Diesel,1993.0,398000 KM,8 CV,Boîte 5,25 500 DT,MERCEDES,
188,Essence,2019.0,68000 KM,4 CV,Boîte 5,27 000 DT,PEUGEOT,208
189,Diesel,2008.0,,10 CV,,25 999 DT,MITSUBISHI,L200
190,Diesel,2018.0,125 KM,1.3 CV,Boîte 5,27 500 DT,PEUGEOT,BIPPER
191,Essence,2011.0,159000 KM,5 CV,Boîte 5,26 000 DT,CITROEN,C3
192,Diesel,2014.0,3000000 KM,5 CV,Boîte 5,25 500 DT,,
193,Essence,2012.0,212000 KM,4 CV,Boîte 5,26 000 DT,FIAT,
194,Diesel,2010.0,1773 KM,6 CV,Boîte 5,27 000 DT,,
195,Diesel,2007.0,200 KM,7 CV,Boîte 5,27 000 DT,MERCEDES,Sprinter
196,Essence,2011.0,222000 KM,6 CV,Boîte 5,27 000 DT,FORD,FOCUS
197,Essence,2010.0,160 KM,5 CV,Boîte 5,27 000 DT,POLO,7
198,Essence,2010.0,177000 KM,4 CV,Boîte 5,26 500 DT,POLO,7
199,Essence,2017.0,120 KM,5 CV,Boîte 5,26 000 DT,,
200,Essence,2012.0,205500 KM,5 CV,Boîte 5,26 200 DT,,
201,Essence,2013.0,95000 KM,4v CV,Boîte 5,27 000 DT,KIA,PICANTO
202,Essence,2017.0,187 KM,5 CV,Boîte 6,26 000 DT,,
203,Essence,2010.0,230000 KM,5 CV,Boîte 5,25 500 DT,,
204,Essence,2013.0,192000 KM,7 CV,Boîte 5,27 500 DT,CHEVROLET,CRUZE
205,Essence,2012.0,206000 KM,5 CV,Boîte 5,26 900 DT,CITROEN,DS3
206,Essence,2013.0,260000 KM,11 CV,Boîte 6,25 900 DT,OPEL,INSIGNIA
