,Unnamed: 0,Kilometrage,Annee,Energie,BoiteVitesse,PuissanceFiscale,Carrosserie,Prix,Couleur,Marque,Modele
202,202,189000,12.201,Diesel,Automatique,10,Berline,68000,Noir,MERCEDES-BENZ,CLASSE E
203,203,65000,9.2019,Essence,Automatique,8,SUV/4x4,98000,Blanc,KIA,SPORTAGE
204,204,145000,6.2016,Essence,Automatique,7,Berline,85000,Blanc,BMW,SERIE 3
205,205,300000,1.2008,Essence,Automatique,22,Berline,45000,Noir,BMW,SERIE 7
206,206,208000,7.2014,Essence,Manuelle,10,Autres,48000,Blanc,AUDI,A3 SPORTBACK
207,207,80000,1.2018,Diesel,Automatique,6,SUV/4x4,89000,Gris Shark,PEUGEOT,3008
208,208,44000,11.202,Diesel,Manuelle,6,SUV/4x4,99000,Gris anthracite,NISSAN,QASHQAI
209,209,130000,5.2018,Essence,Manuelle,6,Citadine,59000,Autre,SEAT,LEON
210,210,160000,6.2014,Essence,Manuelle,7,SUV/4x4,42000,Noir,NISSAN,JUKE
211,211,104000,6.2016,Essence,Automatique,15,SUV/4x4,155000,Blanc,LAND ROVER,RANGE ROVER
212,212,93000,11.2018,Essence,Manuelle,6,Compacte,39000,Gris argent,CITROEN,C4
213,213,15000,4.2022,Essence,Automatique,9,Compacte,112000,Noir,KIA,XCEED
214,214,38000,8.202,Essence,Automatique,10,Berline,187000,Autre,MERCEDES-BENZ,CLASSE C
215,215,142000,5.2018,Essence,Manuelle,6,Citadine,64000,Jaune,GOLF,7
216,216,23000,4.2022,Hybride (essence),Automatique,10,Berline,208000,Noir,MERCEDES-BENZ,CLASSE C
217,217,115000,3.202,Essence,Manuelle,7,SUV/4x4,68000,Noir,SSANGYONG,TIVOLI
218,218,168000,3.2012,Essence,Manuelle,5,Citadine,39900,Blanc,GOLF,6
219,219,140000,1.201,Essence,Automatique,30,Citadine,100000,Noir,BMW,SERIE 7
220,220,70000,1.2021,Essence,Automatique,8,Citadine,185000,Noir,AUDI,A5 SPORTBACK
221,221,100000,10.2018,Diesel,Automatique,12,SUV/4x4,135000,Bleu,HYUNDAI,SANTA FE
222,222,200000,10.201,Essence,Automatique,20,Autres,43000,Gris argent,MAZDA,CX-9
223,223,115000,10.2017,Essence,Automatique,6,SUV/4x4,70000,Gris argent,NISSAN,QASHQAI
224,224,200000,11.201,Diesel,Manuelle,6,SUV/4x4,48000,Noir,NISSAN,QASHQAI
225,225,120000,1.2008,Essence,Automatique,43,SUV/4x4,91000,Noir,PORSCHE,CAYENNE
226,226,203000,2.2015,Diesel,Automatique,10,SUV/4x4,69000,Noir,KIA,SPORTAGE
227,227,60000,9.2021,Essence,Automatique,8,Berline,151420,Noir,SKODA,SUPERB
228,228,130000,1.2016,Essence,Automatique,24,SUV/4x4,220000,Gris anthracite,LAND ROVER,RANGE ROVER
229,229,164000,7.2014,Diesel,Automatique,10,SUV/4x4,98000,Noir,AUDI,Q5
230,230,40000,9.2017,Essence,Manuelle,6,Compacte,83000,Blanc,GOLF,7
231,231,167000,1.2016,Essence,Automatique,7,Berline,80000,Noir,BMW,SERIE 3
232,232,233000,8.2009,Diesel,Automatique,9,Berline,64500,Noir,MERCEDES-BENZ,CLASSE E
233,233,98000,10.2017,Essence,Automatique,8,SUV/4x4,85000,Marron,VOLKSWAGEN,TIGUAN
234,234,38000,9.2018,Essence,Automatique,16,Berline,185000,Blanc,JAGUAR,XF
235,235,160000,12.2017,Essence,Automatique,7,Berline,75000,Blanc,BMW,SERIE 3
236,236,94800,8.2018,Essence,Automatique,20,Citadine,160000,Blanc,GOLF,7
237,237,40146,7.2014,Essence,Automatique,21,Coupé,155000,Rouge,CHEVROLET,CAMARO
238,238,46000,1.2021,Essence,Automatique,7,Berline,139500,Blanc,BMW,SERIE 4
239,239,139000,10.2013,Essence,Automatique,9,Citadine,39500,Marron,CITROEN,DS4
240,240,137000,9.2012,Diesel,Automatique,11,SUV/4x4,45000,Noir,SSANGYONG,KORANDO
241,241,84476,5.2018,Diesel,Automatique,10,SUV/4x4,178000,Noir,BMW,X4
242,242,201000,12.2014,Essence,Automatique,7,Berline,74000,Noir,BMW,SERIE 3
243,243,130000,8.2017,Diesel,Automatique,8,SUV/4x4,126000,Noir,LAND ROVER,DISCOVERY
244,244,43000,3.2019,Essence,Automatique,9,Coupé,170000,Blanc,MERCEDES-BENZ,CLASSE C
245,245,109000,2.2019,Essence,Manuelle,8,SUV/4x4,69000,Gris argent,FORD,KUGA
246,246,194000,7.2012,Essence,Manuelle,6,Citadine,32000,Blanc,CITROEN,C4
247,247,73000,1.202,Essence,Manuelle,5,Citadine,37000,Gris Shark,HYUNDAI,I10
248,248,15000,2.2023,Essence,Automatique,8,Compacte,125000,Gris argent,GOLF,8
249,249,175000,6.2014,Essence,Automatique,11,SUV/4x4,53900,Noir,KIA,SPORTAGE
250,250,89000,11.2019,Essence,Manuelle,4,Citadine,61000,Blanc,POLO,
251,251,55000,5.2021,Essence,Automatique,9,SUV/4x4,122757,Noir,MITSUBISHI,ASX
252,252,230000,1.201,Essence,Automatique,13,Berline,41000,Noir,AUDI,A5 SPORTBACK
253,253,60000,8.202,Essence,Manuelle,7,Citadine,65000,Noir,RENAULT,MEGANE
254,254,113000,4.2016,Essence,Automatique,8,Berline,48000,Noir,SKODA,OCTAVIA
255,255,90000,4.2019,Essence,Manuelle,5,Citadine,38500,Blanc,SUZUKI,DZIRE
256,256,170000,2.2013,Essence,Manuelle,8,Berline,38500,Noir,VOLKSWAGEN,JETTA
257,257,162000,3.2018,Essence,Manuelle,7,Berline,40000,Gris argent,CHERY,ARRIZO 5
258,258,63000,12.2017,Essence,Automatique,15,SUV/4x4,135000,Noir,MAZDA,CX-9
259,259,36000,1.2013,Essence,Manuelle,7,Berline,57000,Marron,AUDI,A4
260,260,100000,1.2018,Essence,Manuelle,6,Citadine,66000,Noir,SEAT,LEON
261,261,60000,9.2019,Essence,Manuelle,8,SUV/4x4,55000,Gris argent,CHERY,TIGGO 3
262,262,55000,7.2019,Essence,Automatique,7,Compacte,135000,Noir,MERCEDES-BENZ,CLASSE A
263,263,19000,8.2021,Essence,Automatique,8,Berline,192000,Noir,MERCEDES-BENZ,CLA
264,264,23000,9.2022,Diesel,Automatique,9,SUV/4x4,225000,Gris Shark,AUDI,Q3
265,265,218000,10.2006,Essence,Automatique,10,Berline,45900,Noir,MERCEDES-BENZ,CLASSE E
266,266,169000,8.2019,Diesel,Automatique,6,Autres,79000,Autre,RENAULT,KADJAR
267,267,305000,10.2005,Essence,Automatique,10,Berline,32000,Noir,MERCEDES-BENZ,CLASSE C
