,Unnamed: 0,Kilometrage,Annee,Energie,BoiteVitesse,PuissanceFiscale,Carrosserie,Prix,Couleur,Marque,Modele
411,411,63000,6.2018,Essence,Automatique,6,SUV/4x4,82000,Noir,NISSAN,QASHQAI
412,412,163000,9.2013,Essence,Automatique,9,Berline,70000,Noir,BMW,SERIE 3
413,413,158000,9.201,Diesel,Manuelle,5,Utilitaire,25000,Blanc,CITROEN,BERLINGO
414,414,118000,5.2017,Essence,Automatique,5,Citadine,65500,Noir,GOLF,7
415,415,148000,1.2009,Essence,Automatique,33,SUV/4x4,98000,Blanc,PORSCHE,CAYENNE
416,416,57000,8.2019,Essence,Automatique,20,Autres,200000,Bleu,GOLF,7
417,417,75000,6.2015,Essence,Automatique,10,Berline,110000,Noir,BMW,SERIE 4
418,418,133000,5.2016,Essence,Automatique,8,Berline,118000,Gris Shark,MERCEDES-BENZ,CLASSE C
419,419,252000,9.2007,Essence,Automatique,23,SUV/4x4,53000,Noir,PORSCHE,CAYENNE
420,420,105000,8.2017,Essence,Automatique,7,Berline,74500,Noir,BMW,SERIE 1
421,421,123000,8.2019,Essence,Manuelle,5,Citadine,33500,Bleu,NISSAN,MICRA
422,422,28000,10.2021,Diesel,Automatique,7,SUV/4x4,168000,Gris anthracite,HYUNDAI,TUCSON
423,423,160000,12.2017,Essence,Automatique,7,Berline,88000,Noir,BMW,SERIE 4
424,424,189000,8.2009,Essence,Automatique,14,SUV/4x4,108000,Rouge,JEEP,WRANGLER
425,425,220000,7.2012,Essence,Automatique,11,Berline,75000,Noir,MERCEDES-BENZ,CLASSE E
426,426,70000,9.2013,Essence,Automatique,21,SUV/4x4,185000,Noir,PORSCHE,CAYENNE
427,427,130000,11.2019,Essence,Manuelle,7,Coupé,53500,Noir,RENAULT,MEGANE
428,428,146000,11.2013,Essence,Automatique,7,Berline,47500,Noir,AUDI,A4
429,429,216000,9.2007,Essence,Manuelle,6,Berline,23900,Noir,CHEVROLET,OPTRA
430,430,32000,7.2022,Essence,Automatique,17,SUV/4x4,340000,Noir,AUDI,Q5
431,431,50000,6.2022,Essence,Automatique,9,Citadine,218000,Noir,MERCEDES-BENZ,CLASSE C
432,432,135000,7.2011,Essence,Automatique,10,Citadine,87000,Noir,MERCEDES-BENZ,CLASSE E
433,433,335000,12.2006,Diesel,Manuelle,11,SUV/4x4,118000,Blanc,TOYOTA,PRADO
434,434,20000,7.2022,Essence,Automatique,8,Citadine,159000,Gris Shark,MERCEDES-BENZ,CLASSE A
435,435,63000,7.2021,Essence,Manuelle,4,Coupé,48000,Blanc,SKODA,FABIA
436,436,106000,6.2014,Essence,Automatique,10,Coupé,120000,Blanc,BMW,SERIE 4
437,437,62000,4.2021,Essence,Automatique,9,Berline,165000,Gris Shark,BMW,SERIE 3
438,438,263000,4.201,Essence,Manuelle,6,Citadine,21500,Gris anthracite,PEUGEOT,308
439,439,37000,3.2023,Diesel,Manuelle,5,Utilitaire,63555,Blanc,PEUGEOT,PARTNER
440,440,69000,7.2018,Essence,Manuelle,7,Citadine,78000,Noir,VOLKSWAGEN,PASSAT
441,441,20000,2.2021,Essence,Manuelle,6,Citadine,109500,Gris anthracite,GOLF,8
442,442,60000,4.202,Essence,Manuelle,6,Citadine,71000,Gris Shark,SEAT,LEON
443,443,110000,6.2017,Essence,Automatique,7,Citadine,125000,Blanc,BMW,SERIE 4
444,444,81000,1.202,Essence,Manuelle,7,SUV/4x4,76500,Bleu,RENAULT,KADJAR
445,445,100000,1.202,Essence,Automatique,8,SUV/4x4,98000,Blanc,KIA,SPORTAGE
446,446,20,11.2023,Essence,Automatique,7,SUV/4x4,95000,Gris Shark,VOLKSWAGEN,T-CROSS
447,447,85000,2.2021,Essence,Automatique,7,SUV/4x4,78000,Gris anthracite,RENAULT,KADJAR
448,448,97000,4.2016,Essence,Manuelle,5,Citadine,30500,Gris anthracite,PEUGEOT,208
449,449,266000,7.2006,Diesel,Automatique,15,SUV/4x4,45000,Noir,MERCEDES-BENZ,ML
450,450,101000,7.2018,Essence,Automatique,8,SUV/4x4,85000,Blanc,KIA,SPORTAGE
451,451,25000,7.2021,Essence,Automatique,9,SUV/4x4,89500,Noir,HAVAL,JOLION
452,452,162000,9.2016,Diesel,Automatique,10,SUV/4x4,98000,Noir,KIA,SPORTAGE
453,453,245000,3.2011,Essence,Automatique,15,Berline,61000,Gris Shark,MERCEDES-BENZ,CLASSE E
454,454,5100,10.2023,Essence,Automatique,6,Autres,81600,Gris Shark,CHERY,TIGGO 3X
455,455,264000,1.2003,Essence,Automatique,23,SUV/4x4,45000,Noir,FORD,EXPEDITION
456,456,177000,4.2014,Essence,Manuelle,5,Citadine,39000,Gris argent,SEAT,LEON
457,457,110000,4.2017,Essence,Automatique,7,Citadine,47000,Blanc,FORD,FOCUS
458,458,180000,2.2009,Essence,Manuelle,4,Compacte,29000,Jaune,FIAT,500
459,459,164000,10.2014,Essence,Manuelle,7,Berline,48500,Gris Shark,AUDI,A4
460,460,21000,10.2022,Essence,Manuelle,5,Citadine,47900,Autre,SUZUKI,SWIFT
461,461,34000,4.2018,Diesel,Automatique,8,SUV/4x4,170000,Gris Shark,LAND ROVER,RANGE ROVER
462,462,20000,5.2022,Essence,Manuelle,4,Citadine,45000,Gris Shark,FIAT,PANDA
463,463,120000,6.2015,Diesel,Automatique,10,Coupé,130000,Noir,BMW,SERIE 4
464,464,98000,12.2018,Essence,Manuelle,5,Coupé,63000,Gris argent,GOLF,7
465,465,257000,9.2013,Diesel,Manuelle,10,Pick up,49500,Blanc,NISSAN,NAVARA
466,466,183000,2.2015,Essence,Manuelle,10,Berline,88500,Blanc,BMW,SERIE 5
467,467,25000,11.2022,Essence,Automatique,5,Citadine,72500,Rouge,HYUNDAI,I10
468,468,90000,7.2019,Essence,Automatique,9,SUV/4x4,80000,Rouge,HAVAL,H6
469,469,60000,1.2022,Hybride (diesel),Automatique,7,Berline,155000,Gris Shark,HYUNDAI,TUCSON
470,470,55000,7.202,Essence,Automatique,9,SUV/4x4,135000,Blanc,AUDI,Q3
471,471,70000,1.202,Essence,Automatique,7,Citadine,92000,Gris anthracite,BMW,SERIE 1
472,472,69000,10.2021,Essence,Manuelle,9,SUV/4x4,85000,Autre,SSANGYONG,KORANDO
473,473,75000,10.202,Essence,Manuelle,5,Citadine,55500,Noir,KIA,RIO
474,474,200000,8.2009,Diesel,Manuelle,9,Berline,59000,Autre,MERCEDES-BENZ,CLASSE E
475,475,290000,7.201,Essence,Automatique,13,SUV/4x4,50000,Blanc,AUDI,Q5
476,476,12000,3.2021,Essence,Manuelle,5,Compacte,58500,Orange,DACIA,SANDERO
477,477,7000,6.2023,Essence,Automatique,9,Berline,250000,Noir,MERCEDES-BENZ,CLASSE E
478,478,237273,9.2015,Essence,Automatique,8,Berline,118000,Blanc,MERCEDES-BENZ,CLASSE C
479,479,70000,4.202,Essence,Automatique,11,SUV/4x4,117000,Gris anthracite,KIA,SPORTAGE
480,480,99500,1.2018,Essence,Manuelle,7,Compacte,62000,Noir,ALFA ROMEO,GIULIETTA
481,481,112000,2.202,Diesel,Manuelle,5,Citadine,58500,Gris Shark,POLO,
482,482,100000,1.2018,Essence,Automatique,7,Berline,105000,Noir,BMW,SERIE 4
483,483,150000,4.2014,Diesel,Automatique,9,Berline,115000,Gris Shark,MERCEDES-BENZ,CLASSE C
484,484,249000,6.2006,Diesel,Automatique,16,SUV/4x4,60000,Noir,AUDI,Q7
485,485,92000,5.2014,Essence,Automatique,7,Berline,82000,Blanc,MERCEDES-BENZ,CLA
486,486,220000,11.2008,Essence,Automatique,21,SUV/4x4,78000,Gris anthracite,PORSCHE,CAYENNE
487,487,119000,4.2016,Essence,Automatique,10,Coupé,150000,Gris anthracite,BMW,SERIE 4
488,488,85000,3.2021,Diesel,Manuelle,5,Utilitaire,48000,Blanc,PEUGEOT,PARTNER
489,489,118018,3.2016,Diesel,Automatique,8,SUV/4x4,155000,Blanc,LAND ROVER,RANGE ROVER
490,490,118000,7.2003,Diesel,Manuelle,8,Berline,29500,Gris anthracite,JAGUAR,X-TYPE
491,491,19000,10.2022,Essence,Automatique,8,Berline,169000,Bleu,CUPRA,FORMENTOR
492,492,150000,6.2017,Essence,Automatique,8,Berline,75000,Blanc,AUDI,A4
493,493,58000,7.2017,Essence,Automatique,13,SUV/4x4,54000,Beige,MG,GS
494,494,140000,8.2017,Essence,Manuelle,6,Berline,40000,Noir,MG,GT
495,495,92000,11.2019,Essence,Manuelle,5,SUV/4x4,55000,Bleu,RENAULT,CAPTUR
496,496,115000,6.2016,Essence,Manuelle,5,Compacte,58500,Gris anthracite,GOLF,7
497,497,145000,3.2014,Essence,Automatique,7,Berline,70000,Blanc,BMW,SERIE 3
498,498,97000,5.2017,Essence,Manuelle,5,Citadine,36900,Rouge,FORD,FIESTA
499,499,115000,1.202,Diesel,Automatique,6,Berline,120000,Gris argent,AUDI,Q2
500,500,90000,3.202,Essence,Automatique,12,SUV/4x4,95000,Marron,HAVAL,H6
501,501,54000,6.2021,Essence,Automatique,9,SUV/4x4,145000,Blanc,VOLKSWAGEN,TIGUAN
502,502,57000,4.2018,Essence,Manuelle,5,Coupé,51500,Gris Shark,KIA,RIO
503,503,181000,5.2011,Essence,Manuelle,7,SUV/4x4,33000,Noir,PEUGEOT,3008
504,504,293000,9.201,Diesel,Automatique,10,Berline,42000,Noir,VOLKSWAGEN,PASSAT CC
505,505,60000,7.2021,Essence,Manuelle,5,Citadine,48000,Blanc,PEUGEOT,208
506,506,60000,9.202,Essence,Manuelle,6,Citadine,69500,Blanc,SEAT,LEON
507,507,118000,3.2018,Essence,Manuelle,5,Citadine,35800,Noir,CITROEN,C3
508,508,155000,5.2019,Diesel,Manuelle,6,Utilitaire,30000,Gris anthracite,DACIA,DOKKER
509,509,87000,5.2018,Essence,Automatique,7,SUV/4x4,69000,Rouge,FIAT,500X
510,510,110000,7.2016,Essence,Manuelle,5,SUV/4x4,39500,Blanc,PEUGEOT,2008
511,511,47000,12.2019,Essence,Manuelle,5,SUV/4x4,49900,Gris anthracite,PEUGEOT,2008
512,512,53000,8.2021,Essence,Manuelle,5,SUV/4x4,36900,Gris argent,MAHINDRA,KUV 100
513,513,103000,8.2018,Essence,Automatique,8,Citadine,67000,Gris argent,SKODA,OCTAVIA
514,514,79000,1.2017,Diesel,Automatique,19,SUV/4x4,297000,Blanc,LAND ROVER,RANGE ROVER
515,515,115000,8.202,Essence,Automatique,7,Berline,118500,Blanc,MERCEDES-BENZ,CLASSE A
516,516,216000,7.2008,Essence,Manuelle,7,Berline,37500,Noir,BMW,SERIE 3
517,517,248000,7.2014,Diesel,Manuelle,7,Pick up,55000,Blanc,FORD,RANGER
518,518,22000,11.2021,Essence,Manuelle,6,SUV/4x4,70500,Noir,SSANGYONG,TIVOLI
519,519,97000,8.2018,Diesel,Manuelle,6,Berline,91000,Noir,GOLF,7
520,520,240000,9.2019,Diesel,Manuelle,9,SUV/4x4,43500,Blanc,,
521,521,116000,1.2014,Essence,Automatique,15,Berline,100000,Blanc,JAGUAR,XF
522,522,29000,5.2019,Essence,Manuelle,7,Compacte,75000,Noir,ALFA ROMEO,GIULIETTA
523,523,90000,5.2019,Essence,Manuelle,5,Citadine,47000,Noir,PEUGEOT,308
524,524,100000,5.2016,Essence,Manuelle,5,Citadine,40000,Noir,CITROEN,C4
525,525,119000,1.2019,Essence,Automatique,7,SUV/4x4,89000,Blanc,PEUGEOT,308
526,526,345000,1.2008,Diesel,Automatique,10,Berline,48000,Bleu,MERCEDES-BENZ,CLASSE C
527,527,56000,6.2019,Essence,Automatique,25,SUV/4x4,435000,Noir,PORSCHE,CAYENNE
528,528,250000,3.2019,Diesel,Manuelle,5,Autres,54000,Gris argent,RENAULT,MEGANE 4
529,529,28000,10.2021,Hybride (diesel),Automatique,7,SUV/4x4,168000,Gris anthracite,HYUNDAI,TUCSON
530,530,78000,5.2018,Essence,Manuelle,5,Citadine,35000,Gris Shark,HYUNDAI,I10
531,531,94000,12.2012,Essence,Automatique,6,Citadine,75000,Blanc,MERCEDES-BENZ,CLASSE A
532,532,46000,2.2021,Hybride rechargeable,Automatique,6,Compacte,168000,Noir,MERCEDES-BENZ,CLASSE A
533,533,68000,4.202,Essence,Manuelle,5,Coupé,35000,Noir,HYUNDAI,I10
534,534,109000,6.2014,Diesel,Automatique,5,Monospace,67500,Noir,MERCEDES-BENZ,CLASSE B
535,535,99000,8.2009,Essence,Automatique,30,Berline,140000,Blanc,MERCEDES-BENZ,CLASSE S
536,536,91000,12.2021,Essence,Manuelle,5,Citadine,42000,Gris anthracite,KIA,PICANTO
537,537,105000,4.2012,Essence,Manuelle,6,SUV/4x4,43500,Blanc,NISSAN,JUKE
538,538,99000,1.2018,Essence,Automatique,8,SUV/4x4,88000,Gris Shark,AUDI,Q3
539,539,163000,1.2011,Essence,Manuelle,5,Citadine,24000,Blanc,FORD,FIESTA
540,540,198000,10.201,Essence,Manuelle,6,Citadine,30000,Bleu,FORD,FOCUS
541,541,23000,2.2016,Essence,Automatique,7,Autres,79000,Bleu,BMW,SERIE 2
542,542,29241,9.2021,Hybride (essence),Automatique,6,Compacte,160000,Gris argent,GOLF,8
543,543,124776,11.2017,Essence,Automatique,8,SUV/4x4,122000,Gris argent,VOLKSWAGEN,TIGUAN
544,544,25000,4.2021,Hybride (essence),Automatique,6,Compacte,160000,Blanc,MERCEDES-BENZ,CLASSE A
545,545,125000,8.202,Essence,Automatique,6,Compacte,69500,Gris argent,SEAT,IBIZA
546,546,141000,8.2016,Essence,Manuelle,5,SUV/4x4,42800,Blanc,PEUGEOT,2008
547,547,53000,10.2019,Essence,Manuelle,6,Compacte,79000,Gris Shark,GOLF,7
548,548,92000,8.2019,Essence,Automatique,7,SUV/4x4,62900,Gris anthracite,FORD,ECOSPORT
549,549,72000,7.2013,Essence,Automatique,6,Citadine,78000,Gris anthracite,MERCEDES-BENZ,CLASSE A
550,550,234000,3.2011,Diesel,Automatique,6,Berline,34900,Noir,PEUGEOT,508
551,551,68000,5.2019,Essence,Manuelle,6,Citadine,85000,Gris Shark,GOLF,7
552,552,98000,3.2019,Essence,Automatique,6,Citadine,50500,Bleu,RENAULT,CLIO
553,553,103000,3.2016,Essence,Manuelle,7,Compacte,67000,Autre,VOLKSWAGEN,PASSAT
554,554,80000,1.202,Hybride (essence),Automatique,17,SUV/4x4,340000,Noir,LAND ROVER,RANGE ROVER
555,555,230000,7.201,Essence,Automatique,10,Citadine,46000,Noir,AUDI,A5 SPORTBACK
556,556,187000,8.2013,Essence,Manuelle,6,Coupé,55000,Autre,MERCEDES-BENZ,CLASSE A
557,557,174000,8.2009,Essence,Automatique,31,Berline,123000,Noir,BMW,SERIE 7
558,558,0,9.2023,Hybride (essence),Automatique,11,SUV/4x4,440000,Noir,MERCEDES-BENZ,GLC
559,559,135000,3.2019,Essence,Automatique,9,SUV/4x4,73000,Noir,HAVAL,H6
560,560,130000,8.2018,Essence,Manuelle,5,SUV/4x4,47000,Gris Shark,PEUGEOT,2008
561,561,81500,2.2018,Essence,Manuelle,5,Autres,48000,Blanc,PEUGEOT,2008
562,562,210000,1.2009,Diesel,Manuelle,11,SUV/4x4,38000,Noir,SSANGYONG,REXTON
563,563,300000,6.2007,Diesel,Automatique,13,Berline,52000,Blanc,MERCEDES-BENZ,CLS
564,564,98000,9.2019,Essence,Automatique,8,SUV/4x4,98000,Noir,KIA,SPORTAGE
565,565,260000,12.2014,Diesel,Automatique,10,SUV/4x4,58000,Noir,SSANGYONG,REXTON
566,566,54000,4.2019,Essence,Manuelle,5,SUV/4x4,32000,Blanc,MAHINDRA,KUV 100
567,567,79000,2.202,Essence,Automatique,25,SUV/4x4,440000,Gris Shark,PORSCHE,CAYENNE
568,568,213000,8.201,Diesel,Manuelle,5,Citadine,28500,Blanc,ALFA ROMEO,MITO
569,569,174000,4.2014,Essence,Automatique,10,Berline,83500,Blanc,BMW,SERIE 3
570,570,160000,4.2015,Essence,Automatique,10,Citadine,68000,Blanc,AUDI,A3
571,571,61263,7.202,Hybride (diesel),Automatique,8,SUV/4x4,240000,Gris Shark,LAND ROVER,RANGE ROVER
572,572,170000,11.2017,Essence,Manuelle,7,SUV/4x4,50000,Marron,SSANGYONG,XLV
573,573,105000,12.2016,Essence,Automatique,9,Berline,55000,Blanc,DS,5
574,574,80000,1.202,Hybride (essence),Automatique,17,SUV/4x4,340000,Noir,LAND ROVER,RANGE ROVER
575,575,150000,1.2016,Diesel,Automatique,10,Berline,95000,Gris Shark,GOLF,7
576,576,120000,1.202,Essence,Automatique,8,SUV/4x4,87000,Noir,HYUNDAI,TUCSON
577,577,16000,7.2023,Essence,Automatique,10,SUV/4x4,153000,Vert,HYUNDAI,TUCSON
578,578,6000,7.2022,Essence,Manuelle,6,SUV/4x4,81000,Bleu,PEUGEOT,2008
579,579,6000,6.2023,Essence,Automatique,7,SUV/4x4,198000,Noir,MERCEDES-BENZ,GLA
580,580,120000,9.2017,Essence,Manuelle,6,Citadine,58000,Noir,GOLF,7
581,581,215000,6.2014,Essence,Automatique,11,SUV/4x4,75000,Noir,BMW,X3
582,582,264000,10.2012,Diesel,Manuelle,7,Pick up,55000,Gris anthracite,VOLKSWAGEN,AMAROK
583,583,298000,7.2004,Diesel,Manuelle,17,Autres,52000,Blanc,ISUZU,NKR 66 
584,584,103000,3.2017,Essence,Manuelle,6,Citadine,57500,Gris argent,GOLF,7
585,585,437000,1.2008,Diesel,Manuelle,6,Berline,35000,Noir,VOLKSWAGEN,PASSAT
586,586,224000,4.2008,Essence,Automatique,21,SUV/4x4,78000,Gris anthracite,PORSCHE,CAYENNE
587,587,110000,4.2016,Essence,Automatique,7,SUV/4x4,88000,Noir,BMW,X1
588,588,30000,1.2022,Essence,Automatique,9,Berline,83500,Noir,MG,6
589,589,100000,1.2018,Essence,Automatique,7,Citadine,99000,Noir,BMW,SERIE 4
590,590,79000,2.2018,Essence,Automatique,10,Coupé,178000,Noir,MERCEDES-BENZ,CLASSE E
591,591,81000,8.2019,Essence,Manuelle,6,Compacte,59500,Noir,OPEL,ASTRA
592,592,86000,6.2016,Essence,Automatique,6,Citadine,40000,Noir,MAZDA,2
593,593,67000,6.2018,Essence,Manuelle,7,Berline,78000,Noir,VOLKSWAGEN,PASSAT
594,594,87000,10.2017,Essence,Automatique,9,SUV/4x4,65000,Marron,MG,GS
595,595,25000,1.2022,Hybride (essence),Automatique,11,Berline,218000,Noir,MERCEDES-BENZ,CLASSE C
596,596,62000,7.2015,Essence,Automatique,8,Berline,122000,Blanc,MERCEDES-BENZ,CLASSE C
597,597,115000,11.2014,Essence,Automatique,15,SUV/4x4,165000,Marron,LAND ROVER,DISCOVERY SPORT
598,598,120000,8.2019,Essence,Automatique,6,SUV/4x4,80000,Gris Shark,GOLF,7
599,599,95000,6.2017,Diesel,Automatique,16,SUV/4x4,275000,Noir,LAND ROVER,RANGE ROVER
600,600,117000,4.2018,Essence,Automatique,8,Citadine,79900,Blanc,KIA,SPORTAGE
601,601,130000,6.2019,Essence,Manuelle,6,Compacte,60000,Gris argent,SEAT,LEON
602,602,130000,8.2019,Essence,Automatique,5,Citadine,38500,Noir,KIA,PICANTO
603,603,150000,1.201,Essence,Automatique,31,SUV/4x4,95000,Noir,PORSCHE,CAYENNE
604,604,45000,11.2015,Essence,Automatique,6,Compacte,90000,Rouge,MERCEDES-BENZ,CLASSE A
605,605,124000,4.2013,Essence,Automatique,7,SUV/4x4,42000,Rouge,NISSAN,JUKE
606,606,35000,1.202,Hybride (essence),Automatique,6,Berline,205000,Noir,MERCEDES-BENZ,CLASSE C
607,607,140000,7.2013,Essence,Manuelle,7,Berline,54500,Noir,AUDI,A4
608,608,111000,12.2018,Essence,Manuelle,6,Coupé,51500,Gris anthracite,SEAT,LEON
609,609,60000,5.2021,Essence,Manuelle,6,SUV/4x4,74000,Blanc,NISSAN,JUKE
610,610,40000,9.2021,Essence,Automatique,8,Citadine,155000,Noir,GOLF,8
611,611,150000,1.2018,Essence,Automatique,7,SUV/4x4,66000,Noir,RENAULT,KADJAR
612,612,53000,5.2018,Essence,Automatique,8,SUV/4x4,87000,Noir,KIA,SPORTAGE
613,613,169000,5.202,Essence,Automatique,7,SUV/4x4,80000,Noir,PEUGEOT,3008
614,614,262000,4.2008,Diesel,Manuelle,8,Pick up,43000,Blanc,NISSAN,NAVARA
615,615,1000,12.2023,Essence,Manuelle,5,SUV/4x4,40900,Rouge,MAHINDRA,KUV 100
616,616,108000,8.2015,Diesel,Automatique,11,SUV/4x4,132000,Beige,LAND ROVER,DISCOVERY
617,617,77000,8.2017,Essence,Automatique,7,SUV/4x4,85000,Blanc,AUDI,Q3
618,618,21000,8.2018,Essence,Automatique,6,Berline,128000,Blanc,MERCEDES-BENZ,CLA
619,619,30000,3.2021,Essence,Manuelle,4,Citadine,42500,Gris argent,HYUNDAI,I10
620,620,75000,8.2018,Essence,Manuelle,8,SUV/4x4,43500,Blanc,CHERY,TIGGO 3
621,621,90000,7.2018,Essence,Automatique,6,SUV/4x4,73000,Gris Shark,TOYOTA,C-HR
622,622,320000,3.2016,Diesel,Manuelle,8,SUV/4x4,89000,Noir,TOYOTA,HILUX
623,623,53634,7.2019,Hybride (diesel),Automatique,11,SUV/4x4,150000,Gris argent,KIA,SPORTAGE
624,624,107000,12.2017,Essence,Manuelle,5,Compacte,35800,Noir,FORD,FIESTA
625,625,6331,9.2022,Essence,Automatique,9,Berline,235000,Noir,MERCEDES-BENZ,CLASSE C
626,626,103500,10.2018,Essence,Automatique,8,SUV/4x4,92000,Noir,VOLKSWAGEN,TIGUAN
627,627,28000,1.2023,Essence,Manuelle,5,Berline,52000,Blanc,HYUNDAI,I10
628,628,33000,12.2019,Essence,Automatique,9,Coupé,179000,Blanc,MERCEDES-BENZ,CLA
629,629,91000,10.2019,Essence,Manuelle,6,Berline,44000,Noir,DONGFENG,S50
630,630,22000,5.2022,Hybride (essence),Automatique,10,SUV/4x4,335000,Noir,MERCEDES-BENZ,GLC
631,631,4000,11.2023,Essence,Automatique,9,SUV/4x4,182920,Blanc,DONGFENG,
632,632,130000,1.2012,Essence,Manuelle,6,Coupé,32500,Gris argent,CITROEN,C4
633,633,60000,8.202,Essence,Automatique,7,SUV/4x4,72000,Bleu,MG,ZS
634,634,58000,2.202,Essence,Automatique,4,Citadine,41500,Blanc,HYUNDAI,I10
635,635,99000,11.2015,Diesel,Automatique,4,Autres,125000,Noir,JAGUAR,XF
636,636,280000,1.2015,Essence,Automatique,9,Berline,78000,Blanc,BMW,SERIE 5
637,637,90000,10.202,Essence,Automatique,11,SUV/4x4,295000,Blanc,LAND ROVER,RANGE ROVER
638,638,97000,1.2014,Diesel,Manuelle,5,SUV/4x4,42000,Rouge,DACIA,SANDERO
639,639,190000,10.201,Essence,Automatique,13,SUV/4x4,62000,Blanc,VOLVO,XC60
640,640,128000,8.2013,Essence,Manuelle,7,Berline,47000,Noir,AUDI,A4
641,641,63000,6.2017,Essence,Automatique,20,SUV/4x4,235000,Gris argent,JEEP,WRANGLER
642,642,430000,4.2007,Essence,Manuelle,4,Citadine,20000,Gris argent,POLO,
643,643,132000,5.2008,Essence,Manuelle,5,Citadine,22000,Gris Shark,FIAT,PUNTO
644,644,170000,4.2019,Essence,Automatique,6,Citadine,59900,Bleu,GOLF,7
645,645,155000,1.2015,Essence,Automatique,10,Coupé,112000,Noir,BMW,SERIE 4
646,646,31000,11.2017,Diesel,Manuelle,7,SUV/4x4,69000,Rouge,NISSAN,QASHQAI
647,647,88750,9.2017,Essence,Manuelle,6,SUV/4x4,38700,Noir,GREAT WALL,M4
648,648,12000,9.2022,Essence,Manuelle,5,Citadine,67500,Gris Shark,KIA,RIO
649,649,159000,7.2019,Essence,Automatique,6,Coupé,91000,Blanc,AUDI,Q2
650,650,174000,5.2015,Essence,Automatique,7,Berline,69900,Blanc,BMW,SERIE 3
651,651,170000,7.2006,Diesel,Automatique,16,SUV/4x4,40000,Bleu,VOLKSWAGEN,TOUAREG
652,652,70000,6.2016,Essence,Manuelle,4,Coupé,57000,Gris anthracite,MINI,
653,653,78000,2.2018,Essence,Automatique,10,Coupé,178000,Noir,MERCEDES-BENZ,CLASSE E
654,654,13000,10.2021,Electrique,Automatique,11,Autres,195000,Blanc,MERCEDES-BENZ,GLA
655,655,200000,9.2013,Diesel,Automatique,8,Berline,78500,Blanc,MERCEDES-BENZ,CLASSE E
656,656,94000,1.2019,Essence,Automatique,7,SUV/4x4,67000,Rouge,MG,ZS
657,657,128000,10.2007,Essence,Manuelle,6,Citadine,24000,Gris Shark,FORD,FOCUS
658,658,62000,1.2021,Essence,Manuelle,5,Citadine,45800,Rouge,RENAULT,CLIO
659,659,236000,11.201,Essence,Manuelle,7,Autres,34000,Gris Shark,GOLF,6
660,660,50000,2.2014,Essence,Manuelle,11,SUV/4x4,195000,Blanc,TOYOTA,PRADO
661,661,105000,3.2014,Essence,Manuelle,4,Citadine,29500,Bleu,HYUNDAI,I20
662,662,38000,8.2021,Essence,Manuelle,4,Citadine,37500,Orange,FIAT,PANDA
663,663,45000,12.2019,Hybride (diesel),Automatique,11,SUV/4x4,129900,Rouge,KIA,SPORTAGE
664,664,33500,8.2019,Essence,Automatique,12,Coupé,248000,Gris anthracite,MERCEDES-BENZ,GLC
665,665,80000,6.2018,Diesel,Automatique,14,SUV/4x4,285000,Noir,LAND ROVER,RANGE ROVER
666,666,210000,11.201,Hybride (essence),Manuelle,5,Citadine,20000,Blanc,DACIA,LOGAN
667,667,120000,12.202,Essence,Automatique,9,SUV/4x4,77000,Blanc,HAVAL,H6
668,668,8000,6.2023,Essence,Manuelle,5,SUV/4x4,39500,Noir,MAHINDRA,KUV 100
669,669,140000,6.2013,Essence,Automatique,5,Coupé,32500,Noir,KIA,PICANTO
670,670,58100,9.2015,Essence,Manuelle,6,Compacte,75000,Noir,NISSAN,QASHQAI
671,671,100000,6.2016,Essence,Automatique,9,SUV/4x4,78000,Gris Shark,MAZDA,5
672,672,187000,2.2012,Essence,Automatique,7,Berline,30000,Blanc,PEUGEOT,508
673,673,150000,1.2017,Diesel,Manuelle,6,Utilitaire,26600,Gris Shark,DACIA,DOKKER
674,674,47300,6.2021,Essence,Automatique,8,SUV/4x4,112000,Blanc,SEAT,ATECA
675,675,160111,8.2015,Essence,Automatique,7,Compacte,65000,Noir,BMW,SERIE 3
676,676,121000,8.201,Essence,Automatique,4,Citadine,22000,Bleu,SMART,FORTWO
677,677,3000,12.2018,Diesel,Automatique,16,SUV/4x4,372000,Noir,LAND ROVER,DISCOVERY
678,678,41500,1.2021,Essence,Manuelle,5,Berline,89000,Blanc,GOLF,8
679,679,90000,6.2019,Essence,Automatique,5,Citadine,44000,Rouge,KIA,PICANTO
680,680,160000,2.2017,Essence,Automatique,6,Berline,47000,Blanc,SKODA,OCTAVIA
681,681,73000,12.2019,Essence,Automatique,4,Utilitaire,46000,Blanc,FIAT,500
682,682,26000,1.2022,Essence,Manuelle,5,SUV/4x4,35900,Rouge,MAHINDRA,KUV 100
683,683,186000,3.2019,Essence,Manuelle,7,Berline,47500,Noir,RENAULT,MEGANE
684,684,69000,8.2018,Essence,Manuelle,7,SUV/4x4,69000,Gris anthracite,NISSAN,QASHQAI
685,685,43280,12.2019,Essence,Manuelle,6,Berline,89000,Blanc,GOLF,7
686,686,45187,9.2019,Essence,Manuelle,9,Berline,93000,Gris argent,GOLF,7
687,687,116500,12.2021,Essence,Manuelle,6,Coupé,45000,Autre,MG,3
688,688,153000,12.202,Diesel,Automatique,7,Berline,86000,Bleu,PEUGEOT,3008
689,689,100000,3.202,Essence,Manuelle,5,Coupé,45700,Bleu,KIA,RIO
